description,date_announced,country,type,compliance,
Germany launches smartwatch app to monitor coronavirus spread on April 7.,4/7/20,Germany,Health Monitoring,Voluntary,
"The state of Hesse (Germany) announced, that there will be an obligation to report to the respective competent health authority for establishments, which accommodate several seasonal workers in collective accommodation. This measure comes into force at May 19th 2020.",5/19/20,Germany,Health Monitoring,Mandatory,
At June 16th the state government of Hesse implements the Corona-App devloped by the german federal government. The App is voluntary and should help to track infected persons and contain the spread of the pandemic.,6/16/20,Germany,Health Monitoring,Voluntary,
"From June 16, a warning app can be used in Germany for contact tracing.",6/16/20,Germany,Health Monitoring,Voluntary,
Germany (03.04.2020): Farmacies are allowed to produce hand disinfectant to sell. This policy is taken due to a threat of the public health by Sars-Cov-2.,3/4/20,Germany,Health Resources,Voluntary,
"On March 11th, 2020 the german ministry for research and education announced the provision of 145 million  "" for research purposes on the coronavirus.",3/11/20,Germany,Health Resources,Voluntary,
"On March 23th, 2020 the German federal government released a law the offers support and incentives to hospitals, doctors, care centers and health insurers to ease financial strain during the crisis and provide more necessary resources (e.g. intensive care beds, etc.)",3/23/20,Germany,Health Resources,Voluntary,
"On the 30th March 2020, Germany is establishing a drive to increase the supply for protective medical equipment. They have launched a new ""Protective Medical Equipment Procurement"" Taskforce to co-ordinate with private business as to promote, organise and co-ordinate local production of protective medical equipment. This includes offers for an firm that can supply more than 25,000 FFP2 respirator masks, mouth and nose protection surgical masks and protective gowns by before the end of April at a fixed price.    

On the 9th April 2020, Germany augmented the existing policy by establishing an additional ""Production Process and Capacity"" Taskforce to oversee and increase domestic production of protective material. This taskforce is run by and through the Ministry of Economic Affairs and Energy, though it is assisted by the Ministry of Health, Ministry of Innovation and Tech and Chancellery. The Taskforce's roles is to take over from the short term effects of the ""Protective Medical Equipment Procurement"" Taskforce. The new force is supporting the medium term expansion of German and European value chains for medical protective equipment.  
",3/30/20,Germany,Health Resources,Mandatory,
"From April 3, intensive care bed capacities are to be reported in Germany.",4/3/20,Germany,Health Resources,Mandatory,
Germany purchaded AVigan tablets as a treatment drug for the new coronavirus. Local media said the ministry will buy several million tablets to treat patients with severe symptoms from April 3.,4/3/20,Germany,Health Resources,Mandatory,
"On the 8th April 2020 Germany announced an immediate suspension of selected regulation on the supply of pharmaceuticals by pharmacies and hospitals. Pharmacies and Hospitals are now allowed to supply equivalent rather than exact drugs for proscriptions, trading stock between themselves in event of shortages, or otherwise deviate from regulation to insure adequate and prompt supply. This is to last until 30th September 2020.",4/8/20,Germany,Health Resources,Mandatory,
On May 8th the federal government of Germany released a note saying that they secured the supply of medical equiment as facial masks coming from China. The equipment is ment to supply the healthcare system.,4/8/20,Germany,Health Resources,Voluntary,
"Germany's vaccines regulator approved human testing of a potential vaccine against the COVID-19 virus developed by German biotech company BioNTech on April 23. The trial, only the fourth worldwide of a preventive agent targeting the virus behind the global pandemic, will be conducted on 200 healthy people aged between 18 and 55 in the first stage, and on further people, including those at higher risk from the disease, in a second stage.",4/23/20,Germany,Health Resources,Mandatory,
"Based on the paper issued by the Federal Ministry of Health (BMG) on April 27 ""A new daily routine also for hospital operations in Germany"", these regulations also apply to Hesse in a first step. This means that 25% of the total number of intensive care beds available for COVID-19 patients must be made available and the operating theatre capacity is open for up to 70% for elective procedures.",4/27/20,Germany,Health Resources,Mandatory,
"At June 3rd, the federal government of Germany has announced that o protect Germany from possible shortages, Federal Health Minister Jens Spahn wants to build up a permanent reserve of medical protective equipment. This was decided by the cabinet today.",6/3/20,Germany,Health Resources,Mandatory,
"Germany has enacted a regulation that from October 19, 2020, people with cold symptoms can have a medical certificate from a doctor for work via telephone so that they do not have to enter the doctor's office and thus possibly infect doctors, practice staff or other patients with COVID-19.",10/19/20,Germany,Health Resources,Voluntary,
Germany: On 1st of February 100 German nationals have been brought back to Germany from Wuhan (China). At the arrival in Germany they were asked on board for their health condition and medically checked a second time by a medical assessment center at the airport. Some have been tested for the virus.,2/1/20,Germany,Health Testing,Mandatory,
"The German Olympic Sports Association (DOSB)  is now discouraging athletes and trainers from traveling to Italy and South Korea, building on an earlier recommendation to avoid travel to China. Athletes returning from these countries to Germany are encouraged to get tested for coronavirus from Febuary 27.",2/27/20,Germany,Health Testing,Voluntary,
"In Germany, from April 6 not only people with symptoms + contact can get tested but also people with symptoms + mass infections (hospitals, care facilities...).",4/6/20,Germany,Health Testing,Voluntary,
"From April 9, in Germany people with symptoms + preconditions or worsening of respiratory diseases or people with symptoms + high risk of contact with infected (wor of voluntary work eg in hospitals) can get tested.",4/9/20,Germany,Health Testing,Voluntary,
"From April 16, all people with symptoms + contact to an infected person/stay in a risk area can get tested in Germany.",4/16/20,Germany,Health Testing,Voluntary,
"Germany (07.21.2020): 
The Healthministry released a new law which makes it possible to enforce the healthinsurances to cover the costs for testing. Also people who are likely to get infected or to infect others (working within the healthcare- or nursingsystem) should be tested easier.
Negative testresults have to be reported.",5/14/20,Germany,Health Testing,Voluntary,
"At June 9th the federal government of Germany has announced, that in the future, people can also be tested for the coronavirus if they do not show any symptoms. The tests will be paid for by the statutory health insurance companies. Comprehensive tests in nursing homes, schools or day-care centres will also be possible in future. All persons in these facilities can be tested if a COVID 19 case has occurred there. In nursing homes and nursing services, tests can also be carried out independently of cases that have occurred. 
The new test regulation, which was presented by Federal Health Minister Spahn at the end of May and which came into force retroactively as of May 14.

",6/9/20,Germany,Health Testing,Voluntary,
On July 28th it was released that people returnig to Germany from a country listed as riskfull for the Coronavirus have to do a mandatory Virustest. This shall start in the first week of August.,7/27/20,Germany,Health Testing,Mandatory,
"Since August 8, 2020, the government of Saxony-Anhalt, Germany, and the Federal Government decided that COVID-19 tests are mandatory for all returnees from risk areas.",8/1/20,Germany,Health Testing,Mandatory,
"At April 21 the state government of hesse (germany) has announced that wearing a mask if a local public transport vehicles or use the public areas of shops, banks and post offices is used. The measure comes into place at April 21.",4/21/20,Germany,Hygiene,Mandatory,
Germany reommends to avoid private trips and journeys on April 22.,4/22/20,Germany,Internal Border Restrictions,Voluntary,
Health minister Jens Spahn urges all Germans to stay at home whenever possible on March 9.,3/9/20,Germany,Lockdown,Voluntary,
"On February 28th, 2020 the constitution of a task force to deal with the spread of the Corona Virus in Germany. It consists of of members of the federal ministries of public health, internal affairs, foreign affairs and the federal police. Selected input of expertise from other government agencies will also be sought after.",2/28/20,Germany,"New Task Force, Bureau or Administrative Configuration",Mandatory,
"Germany is from the 1st, April 2020 is introducing a new online platform 
that all hospitals that provide intensive care are required to register onto. Registered hospitals must publish daily on the platform their number of unused intensive care beds .",4/6/20,Germany,"New Task Force, Bureau or Administrative Configuration",Mandatory,
April 21st: Germany installed a new task force to check that hospitals have no economic loss due to the pandemic.,4/21/20,Germany,"New Task Force, Bureau or Administrative Configuration",Mandatory,
"In Germany federal minister of Education and Research Anja Karliczek announced on April 30 all students would be able to receive interest-free loans of up to  ""650 a month via state-owned development bank Kreditanstalt f ""r Wiederaufbau.
Additionally, the ministry would provide students in  ""particularly acute emergencies "" with non-repayable grants. The  ""100m would be distributed to students by the Deutsches Studentenwerk (DSW).",4/30/20,Germany,"New Task Force, Bureau or Administrative Configuration",Mandatory,
"On June 17th, Germany announced plans to spend a further 24.8 billion euros on measures to counter the economic consequences of the corona pandemic. The money is to be used to secure jobs and prosperity in the long term and to get the economy moving again quickly. To this end, the Federal Government has launched this second economic stimulus package. Capital expenditure will increase to 71.8 billion euros. To finance this, Germany will take out loans of 218.5 billion euros this year. 
",6/17/20,Germany,"New Task Force, Bureau or Administrative Configuration",Mandatory,
"The German Foreign Office paid for flights home for 67,000 people and will now bill them for 40% of the cost. The billing was announced on June 27th but the repatriation flights have taken place over the last few months.",6/27/20,Germany,"New Task Force, Bureau or Administrative Configuration",Mandatory,
"Germany (March 10th for four weeks): 
Doctors can sign people sick for 7 days after a consultation by telephone. Patients don't have to attend a physical examination. 
",3/10/20,Germany,Other Policy Not Listed Above,Voluntary,
On March 19th the federal minister of defense Annegret Kramp-Karrenbauer  declared that the german military will support the healthcaresystem as good as possible to supply the civil society. 2336 reservist have been recruited to help in the situation.,3/19/20,Germany,Other Policy Not Listed Above,Voluntary,
On April 1st Germany changed the regulation for medical students to make it more flexibel. They aim for medical students to help in the healthcare system without having a disadvantage in their education.,3/30/20,Germany,Other Policy Not Listed Above,Voluntary,
"On April 9, in Germany a new law came into effect for protecting renters of flats/accommodations and for protecting enterprises in the event of insolvency",4/9/20,Germany,Other Policy Not Listed Above,Voluntary,
On April 21st Germany releases a note that allows farmacies to be more flexible in the supply of customers. That means that they can change the medicine if the prescribed one is not at hand. Also they can change the size or quantity of the prescribed medicine. With that a better supply of the cititzens is aimed. This regulation is in power until further notice and max. until 03.31.2021.,4/21/20,Germany,Other Policy Not Listed Above,Voluntary,
"At May 7th the German Bundestag has announced, that periods of short-time work due to the Corona crisis are not taken into account when calculating the amount of parental benefit. As a result, the parental allowance is as high as that calculated by the expectant parents. Parents have no further losses.
There is greater flexibility in the use of the parental allowance months and the partnership months for parents in systemically important occupations.
",5/7/20,Germany,Other Policy Not Listed Above,Voluntary,
"At May 7th the German Bundestag has decided on assistance for students and doctoral candidates. Students can get an interest-free KfW loan - up to 650 euros a month, ""quickly and without time-consuming examinations"".
In emergencies, grants are available from the relevant student union. The hardship fund will be increased by 100 million euros for this purpose. Individual case decisions count here. If students help in system-relevant areas to cope with the consequences of corona, they can keep the income from this in full. This income will not be credited towards BAf ""G payments.
The upper limit for fixed-term employment contracts in science is initially extended by 6 months. An extension for a further 6 months is possible. Above all, it should be possible to successfully complete further dissertations despite the corona restrictions.",5/7/20,Germany,Other Policy Not Listed Above,Voluntary,
"At May 5th 2020 the German Bundestag has announced, that periods of short-time work due to the Corona crisis are not taken into account when calculating the amount of parental benefit. As a result, the parental allowance is as high as that calculated by the expectant parents. Parents have no further losses. There is greater flexibility in the use of the parental allowance months and the partnership months for parents in systemically important occupations.",5/7/20,Germany,Other Policy Not Listed Above,Voluntary,
"At May 14th the German government has announced the Social Protection Package II.
The short-time working allowance will be increased. Anyone who is on short-time work for at least 50 percent will receive 70 percent of the lost net wage from the fourth month of receiving short-time work compensation and 80 percent from the seventh month. Employees with children receive 77 and 87 percent respectively. 
The opportunities for earning additional income from short-time work are being expanded: As of May 1st they can earn up to the full amount of their previous monthly income in all professions. The restriction to systemically relevant occupations will be lifted. The regulations apply until the end of the year. 
The payment of unemployment benefits will be extended by three months for those whose entitlement would end between 1 May and 31 December 2020. Access to unemployment benefit II has been simplified. There is no question of housing situation or assets.",5/14/20,Germany,Other Policy Not Listed Above,Voluntary,
"At MAy 2oth the German Bundestag has announced, that parents who are unable to work due to the closure of day-care centres and schools during the Corona crisis will in future receive much longer wage compensation from the state than before. On Wednesday, the federal cabinet passed a bill extending the maximum period of entitlement to up to 20 weeks.",5/20/20,Germany,Other Policy Not Listed Above,Voluntary,
"At June 25th, the Minister of Health has announced, that Germany is strengthening the World Health Organization (WHO) in the fight against the coronavirus. Today in Geneva, Federal Health Minister Jens Spahn assured the WHO of additional financial resources as well as protective masks and other medical equipment for countries that urgently need them. In total, the Federal Ministry of Health's support for the World Health Organization this year amounts to over 500 million euro.",6/25/20,Germany,Other Policy Not Listed Above,Voluntary,
"At May 28th the German Bundestag decided to reduce the VAT rate for restaurant and catering services from 19 to seven percent. "" The tax reduction will apply from 1 July 2020 to 30 June 2021, with the exception of the sale of beverages.",5/28/20,Germany,Other Policy Not Listed Above,Voluntary,
At June 4th the federal government of germany has announced that the economic stimulus package adopted by the coalition committee of the governing parties on 3rd June includes 9.5 billion euros to strengthen the healthcare system and improve protection against future pandemics.,7/3/20,Germany,Other Policy Not Listed Above,Voluntary,
"08.18.2020: Federal government of Germany declared that the additional child-money will be payed to parents starting september. Every family will get additional 300,- "" in two rates being added to the usual child-money.",8/18/20,Germany,Other Policy Not Listed Above,Voluntary,
"On January 23, German health minister Jens Spahn raises awareness for SARS-CoV-2, although there is no case in europe yet.",1/23/20,Germany,Public Awareness Measures,Mandatory,
"On January 25, the German government tells hospitals to prepre for COVID-19 patients.",1/25/20,Germany,Public Awareness Measures,Voluntary,
"On February 3, German health Minister Jens Spahn informs the public about Coronavirus preparations.",2/3/20,Germany,Public Awareness Measures,Mandatory,
"German health ministry cooperates with Helmholtz Institut to produce series of videos on Coronavirus, including how to protect oneself from Coronavirus from Febuary 12.",2/12/20,Germany,Public Awareness Measures,Mandatory,
German Robert-Koch-Institut starts issuing daily Coronavirus briefings on March 4.,3/4/20,Germany,Public Awareness Measures,Mandatory,
German Chancellor Angela Merkel gives a TV-speech on the pandemic on March 18.,3/18/20,Germany,Public Awareness Measures,Voluntary,
"German Government issues recommendations to plan Easter shopping well, to limit public gatherings on April 7.",4/7/20,Germany,Public Awareness Measures,Voluntary,
German Government disseminates information around COVID-19 via whatsapp or telegram from April 13.,4/13/20,Germany,Public Awareness Measures,Voluntary,
Germany disseminated information related to COVID-19 via the warning app NINA from April 29.,4/29/20,Germany,Public Awareness Measures,Mandatory,
"Germany (02.01.2020): 100 German nationals and 22 passengers from other nations are brought back to Germany due to the Coronavirus. They have to fullfill a 14 day quarantine in national military station (St ""tzpunkt Germersheim) close to Frankfurt.",1/31/20,Germany,Quarantine,Mandatory,
"The German Olympic Sports Association (DOSB)  is now discouraging athletes and trainers from traveling to Italy and South Korea, building on an earlier recommendation to avoid travel to China. Athletes returning from these countries to Germany are encouraged to remain at home in self-imposed quarantine for 14 days after their return from Febuary 27.",2/27/20,Germany,Quarantine,Voluntary,
The federal government of Germany has decided in cooperation with the states that all returning travellers have to fullfill a 14 days quarantine at home.,4/6/20,Germany,Quarantine,Mandatory,
Germany: On March 16th the federal government decided that all accommodation offers are not to be used for touristic but only for business purpose.,3/16/20,Germany,Restriction and Regulation of Businesses,Mandatory,
"Germany: On March 16th the federal government decided to regulate that restaurant and bars can only open in between 6am and 6pm. 
",3/16/20,Germany,Restriction and Regulation of Businesses,Mandatory,
"On March 16th the federal government of Germany decided to close all the following for public service: 
- Bars, Clubs
 - Theater, Operas, Concerthalls, Museums
- fairs, exhibitions, cinemas, parks
- brothels
- recreational centers
- public swimming pools
- all not further named retail businesses
- paygrounds",3/16/20,Germany,Restriction and Regulation of Businesses,Mandatory,
"On the 8th of April 2020, Germany announced a regulation on companies  who import protective equipment or medical devices into Germany as part of a Government procurement or emergency policy. Supply and distribution of such imports are entirely in the hands of government. Sales are only allowed to approved customers, normal distribution networks/methods are prohibited.",4/8/20,Germany,Restriction and Regulation of Businesses,Mandatory,
"With continued hygiene and social distancing rules, shops that are within 800 square meters can reopen. Car dealerships, bike shops, book stores, libraries and archives are not included in this policy. 

",4/15/20,Germany,Restriction and Regulation of Businesses,Mandatory,
"On the 20th of April it was announced by the government of Rheinland-Pfalz that hairdressers are allowed to open again given specific hygiene rules and specific access controls to prevent queues, on the 4th of May.",4/20/20,Germany,Restriction and Regulation of Businesses,Voluntary,
"On the 30th of April, the government of Rheinland-Pfalz announced that it would allow for playgrounds and museums to reopen on the 11th of May, given the decision of individual municipalities and following specific hygiene and social distancing rules.",4/30/20,Germany,Restriction and Regulation of Government Services,Voluntary,
German Government recommends on March 10 to cancel public and private events with more than 1000 participants.,3/10/20,Germany,Restrictions of Mass Gatherings,Voluntary,
Germany: On March 16th the federal government decided to prohibit all gatherings in  events or gatherings. This also refers to club meetings and church services.,3/16/20,Germany,Restrictions of Mass Gatherings,Mandatory,
Germany: On March 22nd the federal government decided in cooperation with the states governments that any parties or meetings where people meet in groups eather indoors or outside are prohibited.,3/22/20,Germany,Restrictions of Mass Gatherings,Mandatory,
"In Germany, gatherings of up to 10 people will be allowed in public from June 6.",6/6/20,Germany,Restrictions of Mass Gatherings,Mandatory,
"Germany: In cooperation with the states the federal government has decided to released social distancing measures. People should only have contact with people living in the same household or one person from outside of this household. This one person can be seen outside. They should keep 1,5m distance. Any parties or group meetings are not allowed.",3/22/20,Germany,Social Distancing,Mandatory,
"From April 22, Germany strongly recommends wearing masks in public transportation and when shopping.",4/22/20,Germany,Social Distancing,Voluntary,
"Greece On 10 April, the Minister of Education Niki Kerameos announced that all educational institutions would remain closed until 10 May",4/10/20,Greece,Closure and Regulation of Schools,Mandatory,
"Greece ""Health screenings in airports and border crossings""",2/4/20,Greece,Health Monitoring,Mandatory,
"Greece ""Proposal for digital synchronization of EU member states for data on COVID-19 submitted by Vasilis Kikilias""",2/13/20,Greece,Public Awareness Measures,Voluntary,
measures for the reopening of the swimming pools,5/26/20,Greece,Restriction and Regulation of Businesses,Mandatory,
"Greece Public services closure ""
",3/31/20,Greece,Restriction and Regulation of Government Services,Mandatory,
Greece is enforcing the use of a mask on all employees and customers indoors since May 1,5/1/20,Greece,Social Distancing,Mandatory,
"Greece permits, on an optional and temporary basis, to place a protection divider on public transport passenger vehicles (EDX), in order to protect passengers and the driver and to prevent the spread and spread of COVID-19.",5/5/20,Greece,Social Distancing,Voluntary,
Hungary is punishing the spread of false news that damages the government's defense against the spread of Covid-19 by imprisonment.,3/30/20,Hungary,Anti-Disinformation Measures,Mandatory,
Hungary banned class trips abroad and suspended a summer language program for schools across the country,3/11/20,Hungary,Closure and Regulation of Schools,Mandatory,
Hungary announced that students may not visit institutions of higher education,3/12/20,Hungary,Closure and Regulation of Schools,Mandatory,
Hungary announced a two week curfew starting on March 28 where citizens could not leave their house except to go to work or run essential errands,3/27/20,Hungary,Curfew,Mandatory,
Hungary declared a state of emergency due to COVID-19,3/11/20,Hungary,Declaration of Emergency,Mandatory,
The Hungarian police and National Ambulance Service are screening travelers entering Hungary at six major border crossings.,2/3/20,Hungary,External Border Restrictions,Mandatory,
Mandatory screenings for all passengers arriving in Budapest airport from China,2/3/20,Hungary,External Border Restrictions,Mandatory,
Hungary performs thermal screenings on all Iranian airplane passengers arriving in the country,2/28/20,Hungary,External Border Restrictions,Mandatory,
Hungary suspended the admission of asylum-seekers attempting to enter the country through Serbia,3/2/20,Hungary,External Border Restrictions,Mandatory,
Hungary suspended flights from Milan to Budapest and Debrecen,3/7/20,Hungary,External Border Restrictions,Mandatory,
Hungary banned Iranians from entering the country,3/9/20,Hungary,External Border Restrictions,Mandatory,
"Hungary announced that law enforcement and public administration workers, health workers, contract soldiers, and military personnel may not travel abroad",3/12/20,Hungary,External Border Restrictions,Mandatory,
Hungarian citizens who reside abroad must either leave Hungary or comply with quarantine regulations even if they show no symptoms of COVID-19,3/12/20,Hungary,External Border Restrictions,Mandatory,
Hungary introduced border control at its borders with Slovenia and Austria,3/12/20,Hungary,External Border Restrictions,Mandatory,
Hungary closed its borders to all foreigners,3/16/20,Hungary,External Border Restrictions,Mandatory,
"The Hungarian Minister of Technology is entitled to any relevant data regarding the spread COVID-19, and regional/municipal governments, businesses, and individuals are obligated to provide any data that the Minister of Technology requests.",3/16/20,Hungary,Health Monitoring,Mandatory,
"Hungary delivered 300,000 masks from government stockpiles and started a production line with the capacity to produce 25,000 more",3/2/20,Hungary,Health Resources,NA,
Hungary announced that the Hungarian Army Medical Center will continuously send proposals to the Operational Staff for how to control the COVID-19 outbreak,3/12/20,Hungary,Health Resources,Voluntary,
"Hungary began construction on a ""epidemiological mobile container hospital""",3/13/20,Hungary,Health Resources,NA,
Hungary has assigned military officials to the country's health resource companies to ensure their proper allocation and operation,3/13/20,Hungary,Health Resources,Mandatory,
"Hungary banned the export of hydroxychloroquine sulfate, a chemical substance used in the production of drugs used to treat COVID-19",3/25/20,Hungary,Health Resources,Mandatory,
The Hungarian government appropriated 15 billion HUF to the State Healthcare Center for the purchase of medical devices to combat COVID-19,3/25/20,Hungary,Health Resources,Mandatory,
"The Hungarian national government stocked 51 hospitals with ""hospital managers"" who are responsible for coordinating stocks of medical equipment.",3/28/20,Hungary,Health Resources,Mandatory,
"Hungary received 12 million face masks, 30,000 overalls and 200,000 face shields from China",4/1/20,Hungary,Health Resources,Voluntary,
Hungary reallocated 1.3 billion HUF to a fund dedicated to controlling the Covid-19 epidemic,4/4/20,Hungary,Health Resources,Mandatory,
"The Hungarian government donated 100,000 face masks and 5,000 pieces of protective clothing to North Macedonia",4/6/20,Hungary,Health Resources,Voluntary,
"Hungary imported  20.6 million surgical masks, 1.85 million face masks, 220 ventilators, 50,000 tests, and 10.6 million PPE items",4/21/20,Hungary,Health Resources,Mandatory,
Hospitals in Hungary were ordered to free up 50% of their beds to prepare for a massive influx of Covid-19 patients.,4/17/20,Hungary,Health Resources,Mandatory,
"Hungary gave 50,000 face masks to the Vatican",4/27/20,Hungary,Health Resources,Voluntary,
Hungary donated 20 ventilators to Kyrgyzstan,7/14/20,Hungary,Health Resources,Voluntary,
"Hungary announced a two-week lockdown. Citizens could travel, exercise, and work, but must maintain social distancing and cannot be in groups.",3/27/20,Hungary,Lockdown,Mandatory,
Hungary created an operative staff to coordinate and manage the governmental response to a potential COVID-19 outbreak.,2/3/20,Hungary,"New Task Force, Bureau or Administrative Configuration",Mandatory,
"The Hungarian government created ten new ""action groups"" to create and help enforce policy for the COVID-19 pandemic",3/13/20,Hungary,"New Task Force, Bureau or Administrative Configuration",Mandatory,
Hungary set up a COVID-19 research group to develop drugs and vaccines to treat the virus,3/13/20,Hungary,"New Task Force, Bureau or Administrative Configuration",Mandatory,
Hungary extended the expiration date of government documents for 15 days after the end of the state of emergency,3/12/20,Hungary,Other Policy Not Listed Above,Voluntary,
Hungary announced that all loan repayment obligations would be pushed off until the end of the year,3/18/20,Hungary,Other Policy Not Listed Above,Mandatory,
"Hungary has advised that all nursing homes appoint a Covid-19 mitigation manager, provide proper hygiene materials to workers and residents, be on call 24 hours per day, and isolate and observe infected residents.",4/6/20,Hungary,Other Policy Not Listed Above,Voluntary,
"Hungary tripled (from 5,000 to 15,000 forints) the limit for debit card payments not requiring a PIN code to keep germs from spreading via PIN pad.",3/24/20,Hungary,Other Policy Not Listed Above,Mandatory,
Hungary publicly released a 28-point action plan regarding how its health and law enforcement agencies are to deal with COVID-19.,2/3/20,Hungary,Public Awareness Measures,NA,
"The Hungarian government launched a campaign to hang posters, create educational films and internet videos, and call citizens to inform them of the country's curfew policies",3/29/20,Hungary,Public Awareness Measures,Voluntary,
"Hungary is forcing Hungarian citizens returning from Italy to undergo ""official home quarantine""",3/12/20,Hungary,Quarantine,Mandatory,
Hungary announced a government-enforced quarantine at homes and hospitals for COVID-19 patients,3/12/20,Hungary,Quarantine,Mandatory,
Hungary announced that it would deport any non-Hungarian citizen who refuses to comply with quarantine guidelines,3/12/20,Hungary,Quarantine,Mandatory,
"Hungary is forbidding visitation to ""institutions that provide professional social care, child protection professional care, juvenile correctional facilities, and transitional homes for families and children"" in order to protect social workers at residential social institutions.",3/18/20,Hungary,Quarantine,Mandatory,
"Hungary closed all nightclubs, cinemas, and ""visiting cultural institutions""",3/16/20,Hungary,Restriction and Regulation of Businesses,Mandatory,
"Hungary announced that all businesses could only be open until 3pm with the exception of grocery stores, pharmacies, and drug stores.",3/16/20,Hungary,Restriction and Regulation of Businesses,Mandatory,
"After starting reopening in the countryside, Hungary is continuing to force all non essential businesses to close. Essential businesses may remain open, and restaurants may operate later to deliver takeout in the evenings.",4/30/20,Hungary,Restriction and Regulation of Businesses,Mandatory,
Hungary is only delivering official government documents by mail rather than allowing them to be picked up in person.,3/16/20,Hungary,Restriction and Regulation of Government Services,Mandatory,
"Hungary is forbidding citizens from visiting theaters, dance and music events, museums, libraries, and public cultural institutions. Only those employed by the institutions may visit.",3/16/20,Hungary,Restriction and Regulation of Government Services,Mandatory,
"Laos: The Ministry of Information, Culture and Tourism has issued a notice discouraging the organisation of large events including weddings, as the government intensifies efforts to minimise the risk of a Covid-19 outbreak. Head of Office of the ministry, Mr Vansy Kuamua, signed the notice on March 10, giving provincial culture and tourism departments and relevant bodies nationwide authority to request the postponement of festivals and events, such as weddings, which draw a large crowd.",3/10/20,Hungary,Restrictions of Mass Gatherings,Voluntary,
Hungary forbids gatherings of more than 100 people in a closed place and of more than 500 people in an open place,3/12/20,Hungary,Restrictions of Mass Gatherings,Mandatory,
"Hungary is only allowing sporting events to proceed ""behind closed gates""",3/16/20,Hungary,Restrictions of Mass Gatherings,Mandatory,
"Hungary banned all events or meetings of any kind with the exceptions of religious services, marriages, and funerals",3/16/20,Hungary,Restrictions of Mass Gatherings,Mandatory,
The Hungarian Government has cancelled all public celebrations scheduled for St. Stephen's day (August 20) with the exception of a small military ceremony.,7/16/20,Hungary,Restrictions of Mass Gatherings,Mandatory,
Hungary placed a ban on hospital visitation,3/8/20,Hungary,Social Distancing,Mandatory,
"On June 12 (announced on June 13), following the lifting of the total ban on hospital visitations, the Chief Medical Officer of Hungary introduced a number of restrictions with regards to hospital visitations: Visitors must be healthy, wear masks, wash and sanitize their hands, and keep a distance of at least 2 meters from all patients other than the ones visited.",6/13/20,Hungary,Social Distancing,Mandatory,
Iceland announced the closing of upper secondary schools and universities starting March 16th. Preschools and elementary schools will be place under special conditions.,3/13/20,Iceland,Closure and Regulation of Schools,Mandatory,
"The national commissioner of the Icelandic police raises the alert level of the response to COVID-19 to emergency phase on March 6th, following the confirmation of the first transmissions of the virus within Iceland.",3/6/20,Iceland,Declaration of Emergency,Mandatory,
Iceland issues travel ban on non-EU/EEA/EFTA or UK national starting from March 20th,3/20/20,Iceland,External Border Restrictions,Mandatory,
"In Iceland from June 15th, tourists will be able to provide a health certificate or opt for a coronavirus screening at Keflavik airport, instead of completing a two-week quarantine.",6/2/20,Iceland,External Border Restrictions,Mandatory,
"In Iceland, from July 13th, for Icelandic residents and citizens returning home have to on arrival complete a period of  ""heimkomusmitg ""t "" (home-coming contagion caution). This means will they be tested for COVID-19 at the border and they will also be required to undergo a second free PCR test at a local healthcare centre four to five days later. Until they get the results of the second test Icelanders should:

Maintain two-metre distancing
Only attend gatherings of up to ten people
Avoid high-risk individuals e.g. the elderly
Avoid physical contact

Heimkomusmitg ""t is not the same as quarantine; Icelanders will be  permitted to use public transport, go to shops and meet family and friends whilst they await test results.",7/13/20,Iceland,Health Monitoring,Mandatory,
Iceland launched a tracing app on April 1 to track potential Covid-19 infections.,4/1/20,Iceland,Health Resources,Voluntary,
Icelandic health authorities have in cooperation with the medical research company deCode Genetics undertaken for the COVID-19 virus among the Icelandic population since the 13th of March.,3/13/20,Iceland,Health Testing,Voluntary,
Iceland allows everyone to be tested for the corona virus.,3/13/20,Iceland,Health Testing,Voluntary,
"Icelands Chief Epidemiologist and deCODE Genetics start collecting blood samples from the general public in order to help determine how widespread COVID-19 infection has been within the Icelandic population on May 4. Donating blood for the survey is voluntarily. People undergoing blood tests for other reasons will also be asked to donate a sample. The blood samples will also be tested for antibodies. Those, who give blood will be notified of their test results.",5/3/20,Iceland,Health Testing,Voluntary,
"The government of Iceland announced on September 16th 2020 to conduct random testing within the University of Iceland as well as the greater Reykjav ""k area due to a spike in cases.",9/16/20,Iceland,Health Testing,Voluntary,
"Iceland launches website on March 13 that informs about Covid-19 containing what one need or want to know about the virus, including how to protect oneself, how Iceland is responding, and special information for tourists",3/13/20,Iceland,Public Awareness Measures,Voluntary,
"The State of Iceland rents the Fosshotel Lind in Reykjav ""k it will be converted into a quarantine for tourists and others, unable to be in quarantine at home during the COVID-19 pandemic.",2/29/20,Iceland,Quarantine,Mandatory,
Iceland is enforcing a 14-day quarantine is for all residents of Iceland entering the countrystarting March 19th.,3/19/20,Iceland,Quarantine,Mandatory,
"Iceland announced fines between $360-3590 for violations of the quarantine, starting from the 29th of March",3/27/20,Iceland,Quarantine,Mandatory,
The chief epidemiologist of Iceland implemented isolation for all persons who are ill with COVID-19 or suspected to have the virus from the 13th of March.,3/13/20,Iceland,Quarantine,Mandatory,
